Board	Ref.	Pos X	Pos Y	Pos Z	Rotation	Part Number	Place Before	Gluing	Skip	Main Mark	Sub Mark	Sub Mark1	Sub Mark2	Carry Mode	Stack Target	Memo	Tag	Assign
1	C205	56.397	43.178	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C205	56.397	58.308	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C205	56.397	73.438	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C205	74.527	43.178	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C205	74.527	58.308	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C205	74.527	73.438	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C205	92.657	43.178	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C205	92.657	58.308	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C205	92.657	73.438	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C205	110.787	43.178	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C205	110.787	58.308	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C205	110.787	73.438	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C206	58.359	43.048	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C206	58.359	58.178	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C206	58.359	73.308	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C206	76.489	43.048	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C206	76.489	58.178	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C206	76.489	73.308	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C206	94.619	43.048	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C206	94.619	58.178	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C206	94.619	73.308	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C206	112.749	43.048	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C206	112.749	58.178	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C206	112.749	73.308	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C207	54.686	43.199	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C207	54.686	58.329	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C207	54.686	73.459	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C207	72.816	43.199	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C207	72.816	58.329	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C207	72.816	73.459	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C207	90.946	43.199	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C207	90.946	58.329	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C207	90.946	73.459	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C207	109.076	43.199	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C207	109.076	58.329	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C207	109.076	73.459	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C208	58.239	40.340	0.000	90.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C208	58.239	55.470	0.000	90.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C208	58.239	70.600	0.000	90.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C208	76.369	40.340	0.000	90.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C208	76.369	55.470	0.000	90.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C208	76.369	70.600	0.000	90.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C208	94.499	40.340	0.000	90.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C208	94.499	55.470	0.000	90.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C208	94.499	70.600	0.000	90.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C208	112.629	40.340	0.000	90.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C208	112.629	55.470	0.000	90.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C208	112.629	70.600	0.000	90.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C209	55.390	48.489	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C209	55.390	63.619	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C209	55.390	78.749	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C209	73.520	48.489	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C209	73.520	63.619	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C209	73.520	78.749	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C209	91.650	48.489	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C209	91.650	63.619	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C209	91.650	78.749	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C209	109.780	48.489	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C209	109.780	63.619	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C209	109.780	78.749	0.000	270.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C210	53.532	43.200	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C210	53.532	58.330	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C210	53.532	73.460	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C210	71.662	43.200	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C210	71.662	58.330	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C210	71.662	73.460	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C210	89.792	43.200	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C210	89.792	58.330	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C210	89.792	73.460	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C210	107.922	43.200	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C210	107.922	58.330	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C210	107.922	73.460	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
